Instance,Algorithm,Run,FinalFitness,OptimalFitness,GapToOptimal(%),GapToOptimal_Alt(%),%OptimumAchieved,TimeMs,Evaluations,Steps
bur26a,RS,1,5562507,5426670,2.503137283085207,2.4420104100543156,97.55798958994568,37.182,64432,14
bur26a,RS,2,5554655,5426670,2.3584444972699647,2.304103495176568,97.69589650482344,67.172,127256,9
bur26a,RS,3,5565263,5426670,2.5539234926759873,2.490322559778397,97.5096774402216,19.8269,38411,17
bur26a,RS,4,5576006,5426670,2.7518902015416455,2.678189370671409,97.32181062932858,24.304,47517,9
bur26a,RS,5,5525027,5426670,1.8124743166619675,1.7802084949087127,98.2197915050913,62.6129,120810,12
bur26a,RS,6,5543482,5426670,2.1525539603476904,2.1071954414211143,97.89280455857889,33.7276,69739,11
bur26a,RS,7,5567774,5426670,2.600194963025207,2.5342982671351244,97.46570173286487,41.9944,92998,18
bur26a,RS,8,5559771,5426670,2.452719623636595,2.3940014795573417,97.60599852044265,28.0326,61551,8
bur26a,RS,9,5555248,5426670,2.369372008985253,2.314532132498855,97.68546786750115,62.3685,153933,13
bur26a,RS,10,5543419,5426670,2.1513930273998603,2.1060829065960918,97.8939170934039,67.4966,162936,6
bur26a,RS,11,5556346,5426670,2.3896054117902876,2.3338359418221972,97.66616405817781,66.2597,163096,12
bur26a,RS,12,5562179,5426670,2.4970930607536483,2.4362574451487444,97.56374255485125,32.4098,79895,13
bur26a,RS,13,5561086,5426670,2.476951795484155,2.4170818433665655,97.58291815663344,17.2697,42544,8
bur26a,RS,14,5577443,5426670,2.7783705292564314,2.7032638433059737,97.29673615669402,4.4812,8861,7
bur26a,RS,15,5557895,5426670,2.418149620301216,2.3610557594197084,97.6389442405803,42.5172,104001,12
bur26a,RS,16,5544748,5426670,2.1758831843469384,2.1295467350364703,97.87045326496353,65.724,160548,16
bur26a,RS,17,5569548,5426670,2.6328853606355276,2.5653428249473746,97.43465717505264,20.1403,49325,7
bur26a,RS,18,5551784,5426670,2.3055391243617174,2.2535819116882068,97.7464180883118,33.9154,80943,8
bur26a,RS,19,5560056,5426670,2.4579714631624916,2.399004614342014,97.60099538565798,16.9987,38908,10
bur26a,RS,20,5564165,5426670,2.5336900898709525,2.471080566446178,97.52891943355382,69.4123,169161,5
bur26a,RW,1,5434420,5426670,0.14281318009018423,0.14260951490683457,99.85739048509316,65.9725,170158,59
bur26a,RW,2,5449015,5426670,0.41176264633744086,0.41007411431240326,99.58992588568759,10.8468,30774,55
bur26a,RW,3,5451312,5426670,0.4540906301654606,0.4520379681074941,99.5479620318925,58.4966,181993,61
bur26a,RW,4,5446369,5426670,0.3630034625285857,0.3616905134411568,99.63830948655884,15.702,50536,82
bur26a,RW,5,5448827,5426670,0.4082982750010596,0.4066379791467044,99.59336202085329,68.0029,200318,55
bur26a,RW,6,5440063,5426670,0.24679960270294674,0.24619200182056716,99.75380799817944,45.9493,148083,71
bur26a,RW,7,5452428,5426670,0.47465572809844714,0.472413390878339,99.52758660912167,28.1741,86205,55
bur26a,RW,8,5449013,5426670,0.411725791323224,0.4100375609307594,99.58996243906924,60.8469,192340,60
bur26a,RW,9,5453811,5426670,0.5001409704293793,0.49765200884299077,99.50234799115701,23.0681,74407,52
bur26a,RW,10,5444778,5426670,0.33368529871910396,0.33257554302489467,99.66742445697511,36.8782,113377,64
bur26a,RW,11,5448674,5426670,0.40547886641347275,0.4038413749840787,99.59615862501592,26.4419,83418,54
bur26a,RW,12,5445969,5426670,0.3556324596852213,0.35437219712414814,99.64562780287585,42.924,137408,50
bur26a,RW,13,5444830,5426670,0.33464352908874134,0.3335274012228113,99.66647259877719,49.5343,154719,52
bur26a,RW,14,5435791,5426670,0.16807729233581553,0.1677952665950549,99.83220473340495,66.863,211938,61
bur26a,RW,15,5436566,5426670,0.18235861034483394,0.1820266690407143,99.81797333095929,65.0562,205878,64
bur26a,RW,16,5453728,5426670,0.49861148733938127,0.4961376878348168,99.50386231216518,47.9918,154164,47
bur26a,RW,17,5439552,5426670,0.2373831465705488,0.23682097349193462,99.76317902650807,7.2409,23004,58
bur26a,RW,18,5446779,5426670,0.37055874044303416,0.36919067213852447,99.63080932786148,43.3398,137741,55
bur26a,RW,19,5437395,5426670,0.19763501373770653,0.19724518818294423,99.80275481181705,34.7305,106936,39
bur26a,RW,20,5450047,5426670,0.4307798336733208,0.42893208076921174,99.5710679192308,61.0125,193948,52
bur26a,H,1,5820805,5426670,7.262925514173517,6.771142479433687,93.22885752056631,1.0322,38027,0
bur26a,H,2,6146208,5426670,13.25929160977174,11.70702325726692,88.29297674273307,0.6914,38027,0
bur26a,H,3,6390792,5426670,17.766365008375303,15.086111392766345,84.91388860723366,0.6776,38027,0
bur26a,H,4,5916934,5426670,9.034343344997946,8.285777735563721,91.71422226443627,0.5645,38027,0
bur26a,H,5,6136053,5426670,13.072160275085826,11.56090079404464,88.43909920595536,0.3578,38027,0
bur26a,H,6,6153030,5426670,13.385004063265319,11.804915626935022,88.19508437306499,0.2503,38027,0
bur26a,H,7,6146208,5426670,13.25929160977174,11.70702325726692,88.29297674273307,0.283,38027,0
bur26a,H,8,5970031,5426670,10.012788689933236,9.101477027506222,90.89852297249378,0.3167,38027,0
bur26a,H,9,6146208,5426670,13.25929160977174,11.70702325726692,88.29297674273307,0.1718,38027,0
bur26a,H,10,6341038,5426670,16.849522819703427,14.419847349913372,85.58015265008663,0.1688,38027,0
bur26a,H,11,6390792,5426670,17.766365008375303,15.086111392766345,84.91388860723366,0.1612,38027,0
