Instance,Algorithm,Run,InitialFitness,InitialSolution,FinalFitness,FinalSolution,TimeMs,Evaluations,Steps
bur26a.dat,RS,15,5738214,"[23, 3, 10, 7, 22, 12, 5, 4, 14, 15, 24, 20, 25, 21, 13, 0, 17, 2, 19, 11, 1, 18, 16, 6, 8, 9]",5562864,"[20, 7, 21, 11, 23, 16, 25, 17, 2, 13, 8, 18, 4, 12, 22, 15, 0, 19, 6, 10, 3, 24, 14, 5, 1, 9]",27.231299,68081,8
bur26a.dat,RS,16,5846712,"[4, 16, 2, 1, 7, 22, 20, 12, 24, 15, 19, 11, 18, 17, 8, 10, 21, 0, 13, 14, 25, 23, 5, 3, 9, 6]",5554296,"[15, 14, 9, 7, 22, 24, 2, 17, 19, 11, 4, 0, 8, 18, 23, 21, 13, 12, 3, 5, 10, 25, 1, 16, 6, 20]",46.605899,114755,8
bur26a.dat,RS,17,5858039,"[13, 15, 3, 22, 1, 17, 16, 21, 7, 24, 5, 9, 11, 8, 10, 6, 0, 2, 4, 18, 23, 12, 20, 19, 25, 14]",5553290,"[21, 3, 10, 9, 20, 7, 18, 14, 12, 1, 19, 22, 4, 0, 16, 15, 13, 8, 17, 24, 11, 23, 6, 2, 25, 5]",48.805399,122066,5
bur26a.dat,RS,18,5916012,"[2, 17, 13, 25, 7, 15, 12, 19, 9, 5, 6, 11, 4, 8, 10, 16, 18, 24, 21, 22, 23, 1, 14, 3, 20, 0]",5548295,"[11, 9, 5, 25, 6, 10, 22, 23, 14, 0, 17, 3, 2, 19, 15, 7, 4, 18, 8, 1, 21, 16, 13, 12, 24, 20]",56.865301,138593,11
bur26a.dat,RS,19,5980985,"[17, 4, 25, 16, 6, 22, 3, 10, 13, 7, 21, 0, 12, 15, 19, 14, 8, 9, 20, 5, 1, 23, 18, 24, 11, 2]",5526344,"[24, 21, 6, 18, 3, 2, 14, 20, 0, 23, 17, 19, 10, 13, 11, 1, 8, 7, 4, 9, 12, 22, 16, 5, 25, 15]",49.0107,122206,10
bur26a.dat,RS,20,5871413,"[12, 21, 16, 9, 13, 0, 14, 3, 8, 20, 17, 22, 10, 19, 4, 18, 23, 25, 1, 6, 5, 7, 15, 2, 11, 24]",5611533,"[12, 18, 10, 3, 24, 23, 6, 11, 16, 2, 25, 19, 8, 9, 21, 14, 4, 13, 17, 1, 22, 15, 5, 7, 20, 0]",4.4686,8975,7
bur26a.dat,RW,1,5767829,"[10, 4, 23, 16, 0, 1, 24, 7, 8, 17, 18, 19, 12, 5, 20, 13, 22, 6, 11, 14, 15, 21, 25, 3, 9, 2]",5436612,"[15, 7, 10, 0, 3, 11, 12, 5, 22, 1, 18, 20, 8, 4, 14, 13, 17, 6, 19, 25, 23, 9, 24, 16, 21, 2]",15.8099,35487,57
bur26a.dat,RW,2,5961447,"[12, 8, 21, 9, 16, 2, 20, 17, 0, 25, 1, 14, 22, 18, 5, 7, 24, 4, 15, 6, 13, 19, 3, 23, 11, 10]",5453626,"[5, 2, 3, 11, 6, 10, 1, 14, 24, 20, 18, 0, 19, 17, 12, 7, 13, 4, 8, 23, 16, 21, 22, 25, 15, 9]",24.2399,63495,62
bur26a.dat,RW,3,5892604,"[7, 5, 24, 17, 4, 8, 22, 3, 0, 18, 10, 19, 13, 23, 16, 25, 12, 21, 6, 9, 14, 1, 11, 15, 20, 2]",5445910,"[10, 11, 5, 1, 13, 25, 23, 20, 14, 0, 18, 6, 3, 19, 15, 2, 17, 8, 4, 12, 22, 7, 21, 9, 24, 16]",57.0288,174009,67
bur26a.dat,RW,4,5810636,"[12, 16, 21, 11, 6, 18, 14, 5, 24, 10, 4, 23, 20, 19, 15, 3, 13, 0, 2, 25, 1, 8, 17, 7, 22, 9]",5438650,"[3, 11, 10, 6, 1, 5, 25, 2, 14, 0, 19, 17, 18, 20, 12, 15, 13, 8, 4, 9, 22, 21, 7, 23, 16, 24]",18.8016,60824,59
bur26a.dat,RW,5,5879867,"[15, 13, 24, 19, 17, 4, 22, 8, 0, 20, 21, 10, 2, 5, 1, 14, 6, 23, 3, 25, 11, 18, 16, 7, 9, 12]",5433991,"[13, 22, 1, 5, 11, 25, 10, 0, 14, 20, 17, 19, 6, 7, 12, 3, 18, 4, 8, 23, 2, 15, 21, 9, 16, 24]",37.7516,123116,63
bur26a.dat,RW,6,5761369,"[7, 18, 21, 1, 11, 0, 2, 25, 8, 3, 13, 17, 22, 16, 20, 4, 24, 9, 23, 15, 6, 12, 10, 5, 14, 19]",5450998,"[12, 11, 10, 5, 17, 2, 1, 0, 25, 3, 19, 13, 8, 18, 7, 14, 20, 4, 6, 21, 22, 9, 16, 23, 15, 24]",57.1166,181010,45
bur26a.dat,RW,7,5892705,"[25, 18, 15, 8, 10, 11, 16, 6, 19, 2, 21, 5, 9, 17, 4, 22, 0, 3, 20, 24, 1, 7, 12, 23, 14, 13]",5434851,"[10, 14, 0, 15, 7, 12, 11, 5, 22, 1, 8, 20, 4, 18, 3, 13, 17, 6, 19, 9, 23, 24, 25, 16, 21, 2]",23.394299,78034,44
bur26a.dat,RW,8,5728936,"[2, 5, 4, 22, 23, 7, 24, 13, 12, 8, 11, 3, 6, 0, 25, 14, 1, 19, 18, 10, 9, 21, 20, 15, 16, 17]",5438946,"[14, 10, 0, 6, 25, 12, 22, 1, 7, 13, 20, 8, 4, 2, 3, 11, 17, 19, 18, 24, 9, 16, 15, 23, 5, 21]",46.4001,148930,77
bur26a.dat,RW,9,5878976,"[18, 9, 21, 19, 5, 15, 0, 12, 6, 25, 17, 4, 24, 22, 23, 2, 10, 1, 8, 20, 3, 13, 7, 16, 14, 11]",5440553,"[3, 14, 6, 2, 10, 12, 1, 5, 11, 17, 19, 4, 20, 0, 25, 7, 18, 8, 13, 9, 16, 15, 24, 23, 22, 21]",22.2821,71689,49
bur26a.dat,RW,10,5858402,"[25, 2, 0, 14, 7, 9, 19, 10, 8, 15, 6, 5, 13, 18, 23, 21, 12, 4, 24, 22, 16, 11, 1, 3, 17, 20]",5441391,"[1, 22, 5, 12, 10, 6, 2, 0, 14, 25, 19, 11, 18, 17, 13, 3, 20, 4, 8, 16, 23, 7, 21, 9, 24, 15]",61.3737,203429,49
bur26a.dat,RW,11,5803526,"[0, 1, 14, 10, 12, 18, 21, 7, 22, 5, 11, 20, 25, 13, 6, 16, 15, 8, 4, 23, 3, 17, 19, 9, 24, 2]",5438271,"[10, 11, 5, 12, 7, 3, 2, 6, 14, 0, 8, 17, 18, 13, 1, 15, 19, 20, 4, 9, 22, 21, 25, 23, 16, 24]",10.0489,33355,56
bur26a.dat,RW,12,5956259,"[9, 14, 13, 11, 20, 8, 5, 12, 19, 24, 16, 1, 2, 25, 3, 4, 6, 22, 7, 23, 17, 21, 18, 0, 10, 15]",5454096,"[20, 3, 1, 11, 6, 25, 2, 14, 10, 5, 8, 18, 19, 17, 12, 15, 0, 4, 13, 23, 7, 21, 9, 22, 24, 16]",64.223199,207991,44
bur26a.dat,RW,13,5818743,"[11, 21, 9, 22, 5, 17, 1, 23, 16, 6, 10, 4, 7, 15, 25, 18, 12, 13, 3, 0, 2, 8, 24, 20, 14, 19]",5451182,"[14, 0, 2, 15, 6, 25, 5, 13, 12, 1, 8, 4, 20, 19, 3, 10, 18, 17, 11, 24, 16, 23, 9, 22, 7, 21]",46.434901,153119,53
bur26a.dat,RW,14,5857347,"[10, 0, 25, 9, 4, 13, 5, 8, 11, 21, 15, 23, 20, 22, 12, 19, 18, 2, 17, 7, 14, 3, 1, 6, 16, 24]",5470813,"[7, 0, 10, 25, 17, 3, 2, 14, 1, 6, 20, 8, 13, 18, 21, 12, 11, 4, 19, 24, 16, 22, 9, 23, 15, 5]",34.360999,107021,48
bur26a.dat,RW,15,5668833,"[19, 11, 5, 15, 25, 16, 9, 1, 23, 18, 8, 22, 10, 24, 12, 6, 20, 0, 4, 13, 21, 17, 2, 3, 14, 7]",5452643,"[25, 2, 13, 15, 11, 5, 3, 20, 14, 7, 0, 19, 17, 6, 12, 1, 18, 8, 4, 16, 21, 23, 9, 22, 24, 10]",28.1507,92322,44
bur26a.dat,RW,16,5773415,"[18, 13, 15, 17, 1, 5, 2, 6, 12, 0, 3, 11, 10, 7, 9, 19, 25, 20, 14, 8, 24, 16, 22, 23, 4, 21]",5435342,"[10, 13, 5, 1, 11, 25, 15, 20, 14, 0, 6, 17, 18, 19, 22, 3, 2, 8, 4, 7, 12, 21, 23, 9, 24, 16]",25.635999,78645,59
bur26a.dat,RW,17,5840339,"[14, 12, 22, 18, 2, 10, 7, 16, 5, 1, 6, 20, 19, 15, 11, 4, 8, 17, 25, 13, 21, 23, 24, 0, 3, 9]",5436527,"[11, 10, 22, 12, 1, 15, 25, 14, 0, 20, 17, 18, 19, 6, 7, 3, 2, 8, 4, 13, 5, 21, 9, 23, 16, 24]",31.7448,102110,65
bur26a.dat,RW,18,6027931,"[12, 20, 11, 18, 0, 17, 9, 6, 21, 15, 24, 5, 13, 10, 4, 16, 2, 25, 23, 14, 3, 22, 8, 7, 1, 19]",5438271,"[11, 10, 5, 12, 7, 2, 3, 14, 6, 0, 17, 8, 18, 13, 1, 15, 19, 4, 20, 22, 9, 21, 23, 25, 16, 24]",16.1273,51027,75
bur26a.dat,RW,19,5804583,"[5, 22, 1, 16, 0, 23, 12, 25, 14, 10, 13, 7, 19, 21, 18, 24, 15, 20, 4, 8, 11, 17, 2, 6, 9, 3]",5441040,"[3, 10, 1, 12, 6, 0, 14, 20, 2, 22, 11, 18, 19, 17, 25, 15, 4, 8, 13, 5, 7, 21, 23, 9, 16, 24]",14.069801,46368,50
bur26a.dat,RW,20,5804875,"[3, 2, 23, 22, 9, 14, 5, 25, 13, 17, 16, 8, 21, 4, 10, 12, 18, 15, 11, 0, 19, 6, 1, 7, 24, 20]",5440534,"[3, 10, 7, 0, 25, 22, 5, 1, 13, 17, 6, 8, 20, 4, 14, 11, 18, 19, 2, 15, 9, 23, 24, 16, 12, 21]",25.6749,78792,50
bur26a.dat,H,1,5880813,"[6, 24, 2, 22, 13, 1, 11, 10, 8, 0, 9, 17, 7, 25, 4, 20, 14, 16, 18, 19, 21, 23, 12, 15, 5, 3]",5891234,"[6, 15, 16, 14, 10, 2, 21, 23, 19, 1, 11, 9, 25, 12, 20, 5, 24, 22, 3, 18, 0, 7, 8, 4, 17, 13]",1.702801,38027,0
bur26a.dat,H,2,5868444,"[0, 1, 23, 10, 13, 15, 19, 14, 6, 16, 11, 7, 9, 22, 25, 20, 5, 3, 4, 18, 17, 2, 8, 12, 24, 21]",5820805,"[0, 16, 21, 3, 12, 24, 20, 9, 1, 15, 22, 25, 2, 5, 6, 10, 4, 23, 14, 13, 11, 19, 18, 17, 7, 8]",0.7095,38027,0
bur26a.dat,H,3,5906863,"[11, 19, 14, 22, 4, 7, 6, 24, 18, 8, 9, 20, 12, 17, 23, 13, 15, 10, 2, 16, 0, 21, 5, 1, 25, 3]",5916934,"[11, 16, 23, 20, 10, 9, 21, 24, 19, 3, 15, 22, 1, 25, 14, 6, 2, 5, 12, 0, 18, 7, 8, 4, 17, 13]",0.9273,38027,0
bur26a.dat,H,4,5847335,"[5, 17, 11, 9, 18, 23, 24, 1, 10, 3, 14, 13, 4, 15, 2, 6, 12, 7, 19, 21, 8, 22, 20, 16, 25, 0]",6322258,"[5, 2, 20, 14, 11, 16, 23, 21, 9, 25, 12, 24, 22, 6, 18, 10, 1, 15, 3, 13, 17, 0, 8, 4, 19, 7]",0.5884,38027,0
bur26a.dat,H,5,5760079,"[18, 22, 13, 3, 10, 8, 2, 23, 0, 16, 17, 7, 11, 24, 14, 4, 25, 15, 19, 6, 9, 5, 21, 1, 20, 12]",6226186,"[18, 16, 23, 20, 7, 9, 25, 12, 6, 1, 11, 21, 5, 22, 14, 15, 10, 24, 3, 0, 17, 13, 8, 4, 2, 19]",0.460899,38027,0
bur26a.dat,H,6,5814155,"[4, 25, 3, 10, 23, 19, 15, 6, 7, 18, 12, 5, 8, 0, 2, 14, 11, 9, 22, 24, 16, 1, 21, 20, 17, 13]",6504839,"[4, 19, 6, 3, 12, 16, 24, 25, 15, 5, 20, 14, 2, 10, 11, 21, 0, 23, 9, 8, 13, 7, 18, 17, 22, 1]",0.176399,38027,0
bur26a.dat,H,7,5892285,"[2, 20, 1, 3, 15, 11, 7, 12, 13, 4, 19, 25, 9, 21, 17, 8, 24, 10, 18, 0, 5, 23, 6, 16, 14, 22]",6146208,"[2, 1, 15, 16, 20, 21, 9, 24, 19, 12, 5, 10, 6, 22, 14, 11, 23, 25, 3, 17, 13, 0, 8, 4, 7, 18]",0.1543,38027,0
bur26a.dat,H,8,5759302,"[15, 6, 2, 23, 10, 21, 18, 17, 24, 1, 11, 0, 22, 12, 19, 8, 13, 7, 4, 25, 16, 14, 9, 5, 3, 20]",6146208,"[15, 1, 2, 16, 20, 21, 9, 24, 19, 12, 6, 10, 5, 22, 14, 11, 23, 25, 3, 0, 13, 17, 8, 4, 7, 18]",0.153499,38027,0
bur26a.dat,H,9,5876500,"[25, 5, 11, 21, 16, 18, 23, 12, 8, 4, 3, 0, 6, 24, 1, 7, 17, 2, 19, 15, 13, 14, 20, 10, 22, 9]",5930696,"[25, 16, 14, 11, 10, 2, 21, 23, 22, 12, 3, 9, 24, 15, 20, 19, 5, 1, 6, 18, 7, 0, 8, 4, 17, 13]",0.164099,38027,0
bur26a.dat,H,10,5871022,"[2, 19, 15, 9, 1, 13, 4, 21, 18, 14, 0, 20, 23, 6, 24, 10, 3, 7, 11, 16, 17, 5, 8, 25, 12, 22]",6146208,"[2, 1, 15, 16, 20, 21, 9, 24, 19, 12, 5, 10, 6, 22, 14, 11, 23, 25, 3, 17, 13, 0, 8, 4, 7, 18]",0.156,38027,0
bur26a.dat,H,11,5754120,"[17, 6, 11, 24, 5, 15, 14, 23, 25, 4, 18, 8, 7, 10, 13, 3, 19, 20, 1, 9, 0, 22, 2, 21, 16, 12]",6567130,"[17, 20, 7, 19, 3, 16, 23, 9, 21, 5, 11, 22, 25, 10, 14, 1, 12, 24, 2, 13, 0, 18, 8, 4, 6, 15]",0.3562,38027,0
bur26a.dat,H,12,5815140,"[16, 13, 14, 10, 9, 11, 22, 6, 15, 21, 2, 3, 17, 5, 8, 1, 4, 0, 19, 23, 7, 25, 20, 12, 24, 18]",5820805,"[16, 0, 21, 3, 12, 24, 20, 9, 1, 15, 25, 22, 2, 5, 6, 10, 4, 23, 14, 11, 13, 19, 18, 17, 7, 8]",0.1945,38027,0
bur26a.dat,H,13,5777452,"[21, 5, 19, 15, 12, 11, 10, 18, 4, 25, 17, 22, 8, 9, 2, 6, 0, 13, 3, 16, 24, 14, 20, 23, 7, 1]",6136053,"[21, 2, 16, 23, 12, 9, 15, 1, 14, 19, 6, 24, 22, 3, 11, 7, 25, 10, 5, 4, 17, 20, 18, 8, 13, 0]",0.159399,38027,0
bur26a.dat,H,14,5958309,"[7, 10, 23, 17, 4, 12, 15, 2, 16, 1, 5, 14, 21, 13, 25, 18, 3, 8, 22, 6, 11, 19, 9, 0, 24, 20]",6341038,"[7, 16, 23, 14, 18, 9, 21, 24, 12, 22, 5, 6, 1, 25, 19, 11, 15, 10, 3, 13, 0, 17, 8, 4, 20, 2]",0.1581,38027,0
bur26a.dat,H,15,5847533,"[6, 8, 23, 20, 22, 13, 24, 2, 21, 10, 17, 16, 7, 4, 9, 12, 18, 14, 1, 25, 19, 11, 5, 0, 3, 15]",5891234,"[6, 15, 16, 14, 10, 2, 21, 23, 19, 1, 11, 9, 25, 12, 20, 5, 24, 22, 3, 18, 0, 7, 8, 4, 17, 13]",0.1606,38027,0
bur26a.dat,H,16,5854874,"[6, 25, 21, 1, 7, 24, 16, 2, 8, 14, 15, 22, 18, 0, 11, 23, 12, 17, 3, 9, 4, 20, 10, 5, 13, 19]",5891234,"[6, 15, 16, 14, 10, 2, 21, 23, 19, 1, 11, 9, 25, 12, 20, 5, 24, 22, 3, 18, 0, 7, 8, 4, 17, 13]",0.3621,38027,0
bur26a.dat,H,17,5813320,"[17, 5, 1, 24, 13, 21, 10, 9, 20, 22, 0, 4, 19, 8, 3, 2, 6, 18, 16, 11, 15, 23, 7, 25, 12, 14]",6567130,"[17, 20, 7, 19, 3, 16, 23, 9, 21, 5, 11, 22, 25, 10, 14, 1, 12, 24, 2, 13, 0, 18, 8, 4, 6, 15]",0.162101,38027,0
bur26a.dat,H,18,5710877,"[3, 7, 24, 10, 9, 19, 1, 17, 25, 11, 13, 0, 21, 12, 18, 22, 14, 20, 4, 6, 23, 5, 16, 8, 2, 15]",6282437,"[3, 9, 16, 23, 18, 21, 24, 20, 22, 12, 6, 10, 25, 7, 14, 11, 5, 1, 15, 0, 13, 17, 8, 4, 2, 19]",0.1845,38027,0
bur26a.dat,H,19,5732363,"[11, 9, 15, 24, 21, 19, 0, 2, 12, 18, 13, 10, 25, 1, 17, 14, 4, 23, 3, 22, 20, 5, 8, 7, 16, 6]",5916934,"[11, 16, 23, 20, 10, 9, 21, 24, 19, 3, 15, 22, 1, 25, 14, 6, 2, 5, 12, 0, 18, 7, 8, 4, 17, 13]",0.160599,38027,0
bur26a.dat,H,20,5795211,"[6, 12, 1, 3, 15, 23, 14, 18, 13, 16, 9, 17, 4, 11, 22, 24, 7, 2, 8, 0, 5, 20, 19, 25, 21, 10]",5891234,"[6, 15, 16, 14, 10, 2, 21, 23, 19, 1, 11, 9, 25, 12, 20, 5, 24, 22, 3, 18, 0, 7, 8, 4, 17, 13]",0.167099,38027,0
bur26a.dat,G-2swap,1,6037490,"[25, 13, 15, 5, 6, 14, 12, 3, 23, 11, 0, 18, 22, 2, 24, 10, 17, 21, 9, 7, 16, 20, 4, 1, 19, 8]",5700517,"[12, 16, 7, 13, 17, 20, 8, 14, 10, 15, 24, 6, 11, 19, 3, 22, 23, 21, 4, 25, 18, 1, 9, 2, 5, 0]",0.123101,35,10
bur26a.dat,G-2swap,2,5897750,"[3, 4, 0, 16, 20, 9, 25, 6, 2, 24, 17, 12, 14, 8, 22, 15, 5, 23, 10, 1, 21, 7, 11, 18, 13, 19]",5714212,"[6, 17, 5, 1, 12, 23, 7, 14, 11, 8, 19, 22, 18, 4, 0, 3, 21, 13, 20, 10, 15, 16, 2, 9, 25, 24]",0.058999,40,10
bur26a.dat,G-2swap,3,5668991,"[6, 3, 0, 23, 10, 1, 15, 2, 22, 17, 21, 4, 8, 5, 19, 9, 11, 20, 18, 12, 14, 16, 7, 25, 13, 24]",5651955,"[6, 3, 0, 23, 10, 1, 15, 2, 22, 17, 21, 4, 8, 5, 19, 9, 11, 12, 18, 20, 14, 16, 7, 25, 13, 24]",0.1776,48,10
bur26a.dat,G-2swap,4,5852024,"[6, 23, 9, 15, 18, 12, 14, 24, 3, 25, 16, 5, 7, 20, 13, 11, 4, 22, 8, 19, 17, 0, 10, 1, 2, 21]",5767430,"[20, 12, 24, 23, 10, 7, 5, 13, 0, 6, 9, 14, 4, 15, 19, 8, 16, 25, 17, 22, 11, 2, 18, 21, 1, 3]",0.057099,41,10
bur26a.dat,G-2swap,5,5778771,"[24, 21, 2, 15, 13, 19, 20, 22, 6, 7, 3, 11, 23, 18, 17, 4, 8, 0, 1, 25, 9, 12, 5, 14, 16, 10]",5764538,"[24, 21, 2, 15, 13, 19, 20, 23, 6, 7, 3, 11, 22, 18, 17, 4, 8, 0, 1, 25, 9, 12, 5, 14, 16, 10]",0.0585,38,10
bur26a.dat,G-2swap,6,5930853,"[6, 24, 25, 11, 23, 17, 1, 14, 7, 18, 8, 12, 13, 21, 3, 9, 2, 5, 0, 20, 15, 16, 19, 4, 10, 22]",5624163,"[24, 7, 21, 23, 1, 10, 14, 13, 17, 11, 4, 12, 0, 19, 20, 15, 8, 18, 9, 16, 6, 5, 25, 3, 22, 2]",0.0724,49,10
bur26a.dat,G-2swap,7,5831859,"[4, 6, 2, 15, 10, 14, 18, 20, 3, 22, 7, 11, 0, 8, 17, 19, 9, 13, 24, 23, 1, 21, 5, 16, 12, 25]",5745793,"[7, 20, 22, 2, 3, 23, 14, 12, 21, 24, 6, 1, 0, 25, 11, 19, 8, 4, 13, 5, 17, 9, 16, 10, 15, 18]",0.0512,41,10
bur26a.dat,G-2swap,8,5986278,"[13, 2, 4, 10, 12, 6, 11, 25, 23, 22, 17, 8, 21, 3, 19, 16, 14, 9, 20, 5, 0, 15, 7, 1, 24, 18]",5724022,"[6, 11, 16, 22, 20, 18, 19, 12, 13, 15, 7, 4, 17, 3, 2, 5, 21, 24, 8, 14, 0, 25, 1, 10, 9, 23]",0.0643,47,10
bur26a.dat,G-2swap,9,5944101,"[15, 4, 19, 24, 11, 18, 9, 23, 14, 1, 5, 3, 12, 17, 13, 16, 7, 20, 0, 8, 22, 10, 2, 25, 21, 6]",5738524,"[17, 6, 21, 23, 24, 14, 1, 9, 22, 5, 13, 7, 0, 2, 16, 10, 15, 12, 4, 20, 11, 25, 8, 18, 19, 3]",0.0625,44,10
bur26a.dat,G-2swap,10,5791417,"[0, 18, 15, 16, 19, 1, 20, 2, 22, 7, 10, 11, 4, 23, 13, 12, 8, 6, 17, 9, 25, 3, 21, 14, 24, 5]",5768778,"[0, 18, 15, 16, 19, 1, 20, 2, 22, 7, 10, 11, 4, 23, 17, 12, 8, 6, 13, 9, 25, 3, 21, 14, 24, 5]",0.0517,39,10
bur26a.dat,G-2swap,11,5947223,"[6, 4, 20, 10, 5, 25, 17, 21, 15, 13, 9, 24, 12, 2, 3, 23, 0, 14, 22, 1, 11, 19, 16, 7, 8, 18]",5715853,"[21, 10, 1, 2, 16, 9, 20, 11, 7, 18, 19, 8, 24, 12, 6, 3, 4, 22, 15, 13, 5, 25, 17, 23, 0, 14]",0.0555,44,10
bur26a.dat,G-2swap,12,5802871,"[25, 8, 12, 17, 13, 1, 18, 0, 5, 20, 19, 24, 3, 10, 15, 4, 22, 14, 6, 2, 16, 7, 9, 23, 21, 11]",5680862,"[5, 12, 10, 0, 11, 18, 7, 17, 20, 19, 16, 15, 14, 2, 4, 3, 13, 8, 6, 23, 21, 25, 24, 9, 22, 1]",0.0693,52,10
