Instance,Algorithm,Run,InitialFitness,InitialSolution,FinalFitness,FinalSolution,TimeMs,Evaluations,Steps
bur26a.dat,G-2swap,17,5902407,"[8, 21, 3, 7, 14, 20, 19, 1, 22, 12, 11, 18, 2, 13, 9, 17, 23, 24, 0, 6, 5, 10, 15, 25, 16, 4]",5640817,"[0, 2, 8, 3, 16, 25, 7, 12, 15, 18, 5, 4, 20, 9, 22, 23, 1, 17, 13, 21, 24, 10, 14, 19, 6, 11]",0.1113,46,10
bur26a.dat,G-2swap,18,5979605,"[22, 23, 5, 4, 20, 8, 1, 21, 9, 16, 3, 7, 12, 10, 14, 25, 2, 17, 15, 6, 0, 19, 24, 11, 18, 13]",5708670,"[5, 20, 1, 7, 2, 13, 24, 21, 17, 23, 4, 12, 10, 9, 15, 25, 11, 0, 8, 14, 22, 3, 6, 16, 18, 19]",0.1035,32,10
bur26a.dat,G-2swap,19,5762897,"[1, 3, 20, 7, 9, 21, 0, 25, 23, 6, 11, 16, 14, 4, 8, 17, 5, 18, 2, 19, 22, 15, 24, 12, 13, 10]",5612837,"[8, 21, 14, 24, 20, 18, 11, 10, 22, 6, 16, 7, 2, 4, 5, 13, 17, 19, 15, 1, 3, 23, 0, 9, 12, 25]",0.0665,50,10
bur26a.dat,G-2swap,20,5876017,"[9, 1, 24, 13, 6, 23, 25, 10, 12, 3, 17, 16, 20, 21, 14, 8, 5, 2, 11, 19, 15, 22, 7, 18, 4, 0]",5665443,"[17, 0, 14, 25, 23, 11, 16, 1, 6, 12, 19, 5, 3, 13, 2, 22, 18, 8, 4, 10, 20, 9, 21, 15, 7, 24]",0.0655,52,10
bur26a.dat,G-2swap,21,5992338,"[14, 1, 6, 23, 15, 20, 19, 8, 3, 24, 2, 13, 10, 22, 11, 12, 0, 18, 5, 9, 7, 17, 16, 4, 25, 21]",5663975,"[6, 22, 15, 24, 8, 14, 10, 1, 9, 16, 0, 3, 2, 17, 25, 12, 19, 13, 4, 18, 5, 21, 20, 11, 23, 7]",0.065,41,10
bur26a.dat,G-2swap,22,5905489,"[25, 19, 10, 14, 22, 9, 8, 17, 13, 6, 21, 1, 15, 24, 3, 20, 7, 11, 0, 4, 12, 18, 5, 2, 23, 16]",5749416,"[13, 24, 5, 17, 23, 6, 12, 19, 3, 11, 1, 7, 18, 22, 14, 20, 4, 25, 2, 15, 0, 21, 8, 16, 9, 10]",0.0631,49,10
bur26a.dat,G-2swap,23,5721772,"[10, 3, 13, 20, 12, 23, 16, 24, 0, 25, 7, 14, 5, 8, 1, 11, 2, 4, 15, 17, 6, 22, 21, 9, 18, 19]",5660626,"[20, 18, 3, 10, 14, 2, 15, 23, 0, 11, 19, 25, 12, 13, 9, 6, 8, 16, 4, 5, 22, 17, 7, 21, 24, 1]",0.0706,58,10
bur26a.dat,G-2swap,24,5942336,"[24, 6, 2, 10, 15, 20, 21, 22, 12, 11, 16, 18, 5, 0, 7, 4, 19, 25, 13, 14, 1, 17, 9, 23, 8, 3]",5823221,"[1, 0, 10, 22, 5, 2, 11, 13, 23, 17, 19, 12, 8, 16, 20, 18, 15, 3, 21, 25, 24, 4, 14, 7, 6, 9]",0.0673,38,10
bur26a.dat,G-2swap,25,5950851,"[17, 23, 8, 10, 19, 14, 24, 13, 4, 22, 20, 15, 21, 16, 12, 11, 1, 6, 5, 7, 3, 18, 0, 9, 25, 2]",5696404,"[3, 12, 25, 11, 7, 15, 19, 2, 4, 0, 22, 5, 8, 10, 1, 24, 13, 6, 18, 16, 20, 17, 9, 21, 23, 14]",0.0711,43,10
bur26a.dat,G-2swap,26,5890285,"[8, 19, 24, 20, 15, 9, 7, 21, 11, 12, 13, 4, 18, 1, 0, 16, 17, 10, 6, 5, 14, 3, 25, 22, 2, 23]",5748454,"[1, 11, 16, 18, 21, 3, 5, 10, 2, 8, 15, 17, 6, 14, 9, 25, 12, 0, 4, 19, 20, 22, 13, 24, 23, 7]",0.0781,46,10
